truckingcompanyid,productid,distanceinmiles,fuelcost,linehaulcost,source,destination
5811,8,389.28,2.98,870.92,Nashville,Las Vegas
8983,5,875.88,7.22,193.67,Denver,Memphis
5683,11,291.96,4.99,1155.94,Atlanta,Fresno
5761,8,194.64,5.85,2109.27,Dallas,Austin
7989,21,1751.76,5.7,215.63,Baltimore,Jacksonville
4719,7,2141.04,3.87,323.11,Fresno,Jacksonville
5922,24,1751.76,6.41,165.68,Long Beach,Oklahoma City
3563,18,2141.04,4.86,238.17,Omaha,Seattle
8415,20,4476.72,4.47,35.36,Arlington,Chicago
4689,16,681.24,5.72,311.88,Phoenix,Jacksonville
1110,9,2724.96,5.09,558.18,Jacksonville,Omaha
9229,22,973.2,5.86,256.59,Louisville,Denver
8705,6,97.32,5.98,5344.86,Sacramento,Atlanta
6090,21,1849.08,6.75,212.33,Houston,Nashville
6868,2,4379.4,5.5,299.12,New Orleans,Phoenix
1442,14,583.92,5.4,1345.06,Detroit,Baltimore
7783,8,97.32,5.46,17217.64,Kansas City,Colorado Springs
7823,6,291.96,4.7,236.06,Milwaukee,Memphis
7354,21,875.88,3.46,521.04,Tulsa,Kansas City
6144,2,1946.4,3.75,372.89,Charlotte,Mesa
6889,3,1751.76,5.88,532.68,Memphis,Minneapolis
8916,7,486.6,7.67,625.52,Portland,Milwaukee
9606,17,194.64,5.86,2603.54,Miami,Virginia Beach
1789,20,1654.44,4.35,271.62,Oklahoma City,San Diego
9021,10,2238.36,5.27,159.9,Phoenix,Memphis
6148,24,778.56,6.64,835.91,Albuquerque,Detroit
7472,4,2433,4.89,74.23,Seattle,Long Beach
6827,11,1459.8,5.36,478.21,Memphis,Fort Worth
7255,4,2822.28,4.96,42.81,San Diego,Atlanta
6575,15,1459.8,6.67,430.58,San Diego,Nashville
1328,19,1167.84,5.98,73.55,Charlotte,Las Vegas
3750,14,1070.52,3.74,1058.22,Oklahoma City,Sacramento
6887,17,3990.12,5.86,189.96,Phoenix,Minneapolis
5526,17,2335.68,6.05,32.19,Fresno,San Jose
3541,12,2433,5.8,109.41,Baltimore,Phoenix
8354,19,3016.92,4.45,300.33,Mesa,Houston
5305,7,1167.84,4.19,369.15,Atlanta,Oklahoma City
8614,7,1654.44,6.99,407.25,Raleigh,Detroit
3659,4,2238.36,7.14,23.55,Memphis,Phoenix
9911,16,1070.52,4.93,288.43,San Jose,Boston
6755,8,194.64,3.09,364.69,Milwaukee,Tucson
4396,16,1654.44,7,202.48,Atlanta,Washington
4861,13,1557.12,5.66,495.44,Boston,Phoenix
6400,9,486.6,5.9,1078.67,San Diego,Fort Worth
2906,10,389.28,6.35,1296.7,Washington,San Francisco
4796,8,1070.52,6.01,190.21,Nashville,Fresno
3171,24,97.32,5.08,4649.33,Minneapolis,Oakland
1042,24,3211.56,8.01,209.8,Jacksonville,Oakland
1658,20,1557.12,5.4,215.31,Fresno,New Orleans
5976,12,1557.12,4.88,411.54,Minneapolis,Baltimore
4035,14,2433,4.67,73.97,Denver,Virginia Beach
1209,14,875.88,6.76,766.43,Colorado Springs,Tampa
1512,11,2043.72,5.45,80.32,Detroit,Oakland
9664,3,1751.76,6.19,231.37,Minneapolis,Memphis
9448,3,875.88,4.74,301.19,Louisville,Kansas City
5867,23,2141.04,6.21,363.19,Virginia Beach,El Paso
7221,14,3211.56,5.43,133.04,Chicago,Sacramento
1673,4,1654.44,8.58,1224.28,Portland,Long Beach
7302,20,1654.44,6.76,212.2,Detroit,San Antonio
9336,7,1459.8,6.79,223.77,San Antonio,El Paso
2503,16,3503.52,4.89,194.38,Philadelphia,Miami
5756,23,1751.76,7.17,136.06,Raleigh,Nashville
3657,3,97.32,5.61,13641.67,Sacramento,Atlanta
4773,9,681.24,4.78,1246.78,Fresno,Raleigh
7884,14,1654.44,5.9,588.24,Philadelphia,Nashville
5880,19,291.96,5.74,2862.54,El Paso,Denver
6264,15,1849.08,4.28,88.5,Baltimore,Arlington
8667,11,973.2,6.89,290.51,Mesa,Oakland
3827,18,1070.52,5.62,73.33,Chicago,Columbus
1011,19,3016.92,5.94,143,Philadelphia,Atlanta
6061,1,291.96,6.22,955.43,Oakland,Tampa
9355,9,1849.08,5.77,302.28,El Paso,Chicago
3726,1,1167.84,3.97,386.35,Portland,Columbus
6830,14,2724.96,5.74,491.58,Tulsa,Denver
2388,5,1654.44,5.6,162.37,Tucson,New Orleans
6371,1,1751.76,6.3,606.82,Chicago,Boston
1067,12,681.24,3.58,827.01,El Paso,Louisville
5218,6,1654.44,3.75,115.33,Tucson,San Francisco
3860,22,1459.8,7.09,215.63,Atlanta,El Paso
8191,24,2724.96,5.39,297.32,Tampa,Washington
8363,10,2433,5.31,50.01,Mesa,San Jose
5039,6,973.2,5.76,746.14,Tulsa,Atlanta
4622,6,875.88,7.88,467.28,Tucson,Detroit
9865,14,2919.6,4.36,277.7,Colorado Springs,Dallas
1145,9,583.92,6.1,351.53,Fresno,Omaha
7844,13,1459.8,6.04,399.69,Tulsa,Albuquerque
1141,23,1751.76,6.29,673.52,Omaha,El Paso
2006,15,2627.64,5.95,70.41,Philadelphia,Tucson
2759,12,2433,5.91,129.74,Houston,Louisville
7918,23,291.96,5.44,1432.55,Detroit,Las Vegas
1271,19,2433,5.22,246.37,Louisville,Houston
9787,23,1459.8,4.55,61.12,Phoenix,Washington
5662,24,97.32,5.44,2242.42,Fort Worth,Columbus
8883,4,97.32,5.28,6762.44,Seattle,Denver
4041,12,1459.8,5.22,252.31,Omaha,Oklahoma City
9587,5,4087.44,4.92,255.41,Minneapolis,Houston
5930,24,875.88,5.81,837.39,Colorado Springs,Tampa
1504,11,1946.4,4.19,170.22,Philadelphia,Portland
2830,4,389.28,3.67,707.57,Las Vegas,Nashville
2458,20,2335.68,5.65,101.11,El Paso,Minneapolis
5258,24,1070.52,5.67,598.56,Denver,Baltimore
1739,11,1751.76,6.08,465.12,Charlotte,Tucson
8006,5,194.64,4.35,5129.63,Kansas City,Omaha
3262,5,3211.56,7.02,231.25,New Orleans,Indianapolis
9201,4,97.32,5.14,1257.72,Mesa,Fresno
9554,20,3892.8,6.74,65.92,Minneapolis,Philadelphia
1680,17,3308.88,6.04,172.96,San Francisco,New Orleans
1568,10,1070.52,3.05,1561.74,San Francisco,Las Vegas
7509,13,389.28,5.81,769.02,Washington,San Francisco
9768,23,194.64,5.67,1067.28,Tulsa,Oakland
6758,1,1265.16,5.77,314.21,Tucson,Washington
3338,3,3114.24,5.49,24.79,Houston,Sacramento
7983,5,2043.72,4.65,328.41,Nashville,Los Angeles
2149,3,1751.76,5.93,391.97,San Diego,Portland
2388,6,1946.4,7.19,96.58,Detroit,Virginia Beach
7624,2,778.56,4.25,1559.99,Denver,Las Vegas
7633,12,4184.76,5.69,136.54,Minneapolis,Chicago
8535,2,2530.32,5.67,219.89,Indianapolis,Long Beach
2110,19,2043.72,7.47,83.23,Detroit,Chicago
9575,4,681.24,5.12,816.54,El Paso,Charlotte
2365,5,1362.48,7.91,69.26,Atlanta,Nashville
6931,7,2335.68,4.54,346.97,Minneapolis,El Paso
8736,6,1362.48,6.66,164.27,Albuquerque,Seattle
9763,1,486.6,5.78,286.34,Charlotte,Washington
7988,20,1070.52,5.1,437.91,Long Beach,Albuquerque
8349,24,2141.04,5.56,163.19,El Paso,Virginia Beach
1489,15,778.56,5.21,674.53,Virginia Beach,Sacramento
2106,1,583.92,5.57,373.03,Detroit,Baltimore
5671,23,486.6,5.31,1595,Virginia Beach,Arlington
5660,24,2433,6.45,197.77,Detroit,Arlington
3845,11,2043.72,4.99,93.1,Las Vegas,Tampa
2773,9,3406.2,6.18,138.96,Charlotte,New Orleans
7145,9,2724.96,7.11,510.97,Boston,Arlington
6682,21,486.6,4.24,474.47,Los Angeles,San Antonio
1426,3,583.92,4.91,276.69,Austin,Indianapolis
2066,9,875.88,5.36,299.68,Denver,San Jose
9233,9,97.32,4.43,1957.42,Portland,Oklahoma City
4518,18,1654.44,7.5,320.9,Phoenix,El Paso
1941,2,1946.4,5.54,307.23,Louisville,Arlington
9696,9,875.88,6.41,885.13,Milwaukee,El Paso
8016,5,1849.08,6.22,97.73,Dallas,Memphis
4985,15,4379.4,6.02,27.57,Arlington,Houston
8316,21,2919.6,6.25,112.16,Tulsa,Indianapolis
3622,7,97.32,5.36,5010.18,Dallas,San Jose
6660,9,3211.56,4.8,241.35,San Francisco,Arlington
9874,15,1557.12,6.03,338.69,Miami,Portland
5816,5,1167.84,6.75,538.44,Oklahoma City,Fort Worth
9156,24,1654.44,5.41,105.12,Baltimore,Fort Worth
2459,20,681.24,4.35,159.18,Memphis,Boston
1139,14,3990.12,4.98,322.06,San Antonio,Tampa
1313,4,1070.52,5.61,234.81,San Francisco,Las Vegas
6939,4,1265.16,6.69,91.73,Oakland,Albuquerque
9579,2,3795.48,4.86,17.51,Minneapolis,San Antonio
5237,16,389.28,5.76,1779.41,Atlanta,Tucson
3147,14,875.88,6.21,1808.53,Mesa,Portland
2655,20,486.6,5.93,894.21,Louisville,Detroit
4271,11,681.24,2.61,92.59,Washington,Las Vegas
8842,8,3406.2,6.72,116.02,Austin,Minneapolis
4495,23,2627.64,4.57,131.91,Los Angeles,Louisville
1606,16,973.2,5.12,43.94,Detroit,Fresno
4600,7,3698.16,6.16,117.07,San Diego,Minneapolis
5604,2,389.28,6.06,1217.79,Oakland,Arlington
1897,3,681.24,6.66,445.24,San Antonio,Columbus
9807,8,1557.12,6.7,145.94,Louisville,Fort Worth
4562,18,3308.88,6.15,92.79,Omaha,Philadelphia
1919,24,486.6,4.6,631.7,Long Beach,Tampa
3362,18,2141.04,5.75,161.08,Arlington,Las Vegas
5704,5,875.88,5.57,128.64,Memphis,Denver
2792,14,778.56,6.24,198.19,Memphis,Sacramento
2139,13,875.88,7.68,376.51,Oklahoma City,San Francisco
3461,14,3211.56,4.84,48,Los Angeles,Mesa
7613,3,2919.6,5.54,148.89,Tampa,Seattle
8168,18,4379.4,4.97,490.76,Phoenix,New Orleans
7365,18,2335.68,3.85,149.76,Fresno,San Jose
2391,5,1362.48,4.77,823.49,Long Beach,Louisville
4377,20,973.2,5.59,261.74,Tampa,Kansas City
1161,21,1946.4,6.51,192.8,Colorado Springs,Denver
1953,16,97.32,6.27,1825.96,Oklahoma City,Portland
7769,24,2530.32,5.36,429.76,Indianapolis,Long Beach
5416,24,2141.04,4.28,241.74,Colorado Springs,Indianapolis
6548,15,3016.92,4.92,96.86,Philadelphia,Atlanta
3991,23,1362.48,4.48,89.48,Long Beach,Louisville
2649,22,2822.28,4.76,161.26,Milwaukee,Los Angeles
3580,10,389.28,5,1644.81,Fort Worth,Indianapolis
2466,16,583.92,6.34,1152.65,Atlanta,Milwaukee
9867,16,1751.76,5.71,589.27,Arlington,Milwaukee
3776,4,2919.6,4.35,199.61,Atlanta,San Antonio
3485,16,2238.36,4.56,159.71,Baltimore,San Antonio
1991,24,2724.96,4.52,129.47,Phoenix,Tucson
5487,1,681.24,6.08,476.42,Dallas,Los Angeles
9167,13,1849.08,5.67,171.7,Louisville,Tampa
3356,2,3503.52,6.71,66.77,Houston,Omaha
9331,12,2141.04,5.11,467.45,San Diego,Baltimore
4885,5,2530.32,6.82,182.27,Minneapolis,Washington
5885,7,1167.84,3.44,164.24,San Antonio,Denver
9091,9,97.32,6.05,3416.18,Houston,Chicago
3170,10,1459.8,4.55,210,Mesa,Washington
9853,8,1459.8,6.18,265.68,Nashville,San Diego
3446,6,291.96,5.67,605,Las Vegas,Baltimore
8324,24,2238.36,5.11,378.07,Tulsa,Detroit
7049,8,583.92,5.19,696.03,Phoenix,Austin
3454,19,681.24,5.61,811.26,Tampa,Raleigh
7271,10,778.56,5.85,1068.63,Fort Worth,Phoenix
9954,3,1070.52,7.49,841.93,Seattle,Louisville
3244,20,2627.64,6.15,137.18,Raleigh,Columbus
4556,14,681.24,4.91,374.09,Detroit,Milwaukee
3005,23,2141.04,7.65,29.03,Dallas,Milwaukee
5697,21,1751.76,6.02,62.89,Tampa,Baltimore
2403,24,194.64,4.73,2945.63,Long Beach,Raleigh
5999,7,1654.44,5.12,289.03,Houston,Boston
3073,14,486.6,4.76,585.44,Miami,Tulsa
9158,16,3308.88,5.17,89.54,Dallas,Long Beach
2952,11,681.24,6.59,2035.14,Baltimore,Nashville
4499,7,1557.12,5.29,402.36,Colorado Springs,Nashville
8541,15,97.32,4.34,4777.78,San Diego,Dallas
3383,14,2627.64,4.83,143.07,Washington,Tulsa
9464,9,681.24,6.7,1347.29,Charlotte,El Paso
4851,23,973.2,6.26,618.78,Charlotte,Phoenix
9672,14,3406.2,3.75,86.55,Los Angeles,Atlanta
3736,6,2433,6.11,279.84,Boston,Minneapolis
4129,21,1946.4,4.79,248.55,Miami,El Paso
1080,10,778.56,5.86,369.06,Seattle,San Jose
3949,8,97.32,6.35,1067.74,Kansas City,Colorado Springs
1356,21,97.32,5.42,9411.78,Tampa,Arlington
8850,18,389.28,5.97,946.29,Jacksonville,San Diego
3202,9,778.56,4.38,660.03,Philadelphia,Columbus
8061,3,3016.92,7.24,189.34,Tucson,Los Angeles
9940,14,1849.08,4.82,225.84,Dallas,Memphis
8901,8,1654.44,5.19,540.97,Tucson,San Francisco
2121,10,583.92,3.23,773.15,Memphis,Fresno
8788,13,2238.36,6.49,250.55,Tampa,Oklahoma City
4835,20,973.2,6.12,480.16,Indianapolis,Las Vegas
8739,2,4574.04,4.55,104.16,Chicago,New Orleans
6547,15,875.88,6.21,138.51,Atlanta,Memphis
7083,6,681.24,5.17,2575.9,Houston,Austin
9020,19,389.28,4.36,1357.37,Colorado Springs,Mesa
7081,7,3698.16,5.71,148.31,Phoenix,Long Beach
7172,4,291.96,6.82,835.87,Miami,Oakland
3309,11,778.56,7.25,429.5,Portland,Seattle
1991,8,1362.48,4.69,462.99,Phoenix,Denver
6281,11,1265.16,6.59,178.16,Washington,Tucson
2327,16,681.24,6.6,60.44,Milwaukee,Kansas City
5863,19,2043.72,5.18,159.07,Las Vegas,Tampa
3206,24,583.92,5.61,388.7,Omaha,Minneapolis
4081,21,1459.8,5.13,202.5,Seattle,Chicago
2611,1,2724.96,4.89,23.98,Minneapolis,Seattle
3731,24,2433,5.32,50.45,Colorado Springs,Columbus
4695,15,2238.36,4.69,134.1,Oklahoma City,Tampa
5947,9,2043.72,7.01,85.35,Columbus,Mesa
8393,1,1654.44,6.6,238.01,Jacksonville,Louisville
3710,3,1362.48,4.09,554.66,Chicago,Indianapolis
2983,23,1557.12,4.27,243.39,Portland,Miami
9608,22,2433,5.1,182.46,Mesa,San Jose
3037,16,3503.52,7.03,23.63,Tampa,Jacksonville
3579,11,1946.4,3.97,391.69,Kansas City,Seattle
3540,2,973.2,5.25,727.34,Memphis,Kansas City
2668,7,3308.88,6.88,92.96,San Francisco,New Orleans
7479,17,2433,5.82,611.05,Austin,Sacramento
9629,12,778.56,4.38,378.14,Long Beach,Mesa
9564,24,583.92,6.99,1712.39,Indianapolis,Nashville
4954,19,1849.08,6.97,45.43,New Orleans,Milwaukee
3131,9,291.96,4.91,398.76,Colorado Springs,Sacramento
4196,20,97.32,6.6,936.29,Miami,Raleigh
4951,13,2919.6,6.14,490.67,Denver,Arlington
1389,3,291.96,6.53,1583.99,Fort Worth,San Francisco
1419,20,2724.96,3.45,145.99,Boston,Arlington
5056,24,3114.24,6.15,344.43,Tampa,San Francisco
6742,3,1751.76,5.68,193.22,Chicago,Boston
2597,8,291.96,5.43,2788.01,Charlotte,Seattle
9816,18,291.96,5.14,2742.43,Mesa,Kansas City
9134,16,681.24,3.82,1690.74,Miami,Mesa
5339,21,291.96,6.62,343.4,El Paso,Oklahoma City
6264,21,1849.08,5.79,112.21,San Jose,Louisville
2087,13,97.32,5.42,697.41,El Paso,Boston
6969,15,2335.68,4.08,29.91,San Antonio,Milwaukee
6282,23,1362.48,6.11,232.7,Memphis,Miami
5903,11,1459.8,6.39,74.42,San Diego,Nashville
5171,23,97.32,6.06,7120.98,Sacramento,Atlanta
8265,2,4184.76,5.64,144.24,Phoenix,Tampa
3133,21,3406.2,5.04,262.99,Tulsa,Jacksonville
6358,15,2627.64,5.91,298.96,El Paso,Arlington
5482,1,2141.04,6.35,227.81,Louisville,San Antonio
9379,12,2141.04,5.99,104.74,Miami,Washington
5591,17,2335.68,6.19,220.32,Washington,Virginia Beach
6343,20,1362.48,5.56,450.55,Raleigh,Las Vegas
7212,8,1167.84,5.07,245.52,Boston,Dallas
1269,10,1849.08,7.13,217.72,Fresno,Charlotte
1189,22,973.2,5.37,543.54,Atlanta,Las Vegas
3151,17,97.32,6.36,5573.69,Albuquerque,Tucson
9507,22,2530.32,6.47,154.81,Dallas,Mesa
3441,8,4184.76,6.83,284.92,Houston,Tulsa
7204,12,2141.04,4.16,49.05,Omaha,Seattle
3908,24,681.24,7.36,746.56,El Paso,Charlotte
9070,21,3990.12,4.85,325.9,Chicago,Virginia Beach
8411,16,1751.76,7.41,240.77,Kansas City,Washington
9490,16,778.56,3.85,681.25,Portland,Seattle
3155,4,4282.08,3.81,17.76,Tulsa,Chicago
9785,22,1167.84,5.76,186.13,Las Vegas,Charlotte
3184,4,194.64,5.47,3393.73,San Diego,San Jose
3434,20,2530.32,6.12,214.45,Indianapolis,Long Beach
5939,19,194.64,6.47,916.34,Indianapolis,Denver
3626,20,3308.88,5.57,20.36,Atlanta,Chicago
9133,8,1265.16,6.53,192.98,Denver,Albuquerque
3370,11,973.2,3.54,968.79,Philadelphia,San Francisco
3965,4,1070.52,5.09,301.51,Phoenix,San Francisco
9698,7,1751.76,6.09,35.67,Houston,El Paso
2737,6,2433,5.41,94.08,Washington,Oakland
9576,6,1362.48,5.21,595.4,Baltimore,San Francisco
1743,12,1070.52,5.58,653.57,Kansas City,Las Vegas
1253,8,3892.8,5.69,53.06,Long Beach,Chicago
5728,1,973.2,5.79,1349.23,Nashville,Tucson
8113,22,486.6,5.06,2504.9,Fresno,Colorado Springs
1263,18,2238.36,7.78,175.07,Fort Worth,Sacramento
3793,21,291.96,5.44,1719.27,Virginia Beach,Raleigh
8468,22,2335.68,5.25,92.28,Memphis,Houston
8960,20,97.32,5.31,606.79,Denver,Washington
9384,11,194.64,6.91,2004.09,Miami,Omaha
4788,23,3600.84,6.04,316.69,Philadelphia,Long Beach
2871,3,1459.8,5.52,1367.3,Indianapolis,Los Angeles
1855,12,194.64,4.82,531.51,Raleigh,Long Beach
8085,23,1362.48,4.61,415.01,Memphis,Miami
7839,3,2627.64,5.7,164.42,Denver,Minneapolis
2214,17,1265.16,6.14,466.77,Seattle,Phoenix
8862,4,778.56,4.61,1463.35,Baltimore,El Paso
7745,16,2335.68,5.43,758.24,Houston,Memphis
8370,23,3114.24,5.58,276.75,Virginia Beach,Jacksonville
5975,17,291.96,5.36,1999.24,San Francisco,Fort Worth
7383,23,2822.28,5.74,621.57,Long Beach,Columbus
8754,22,2335.68,5.72,370.36,Fort Worth,Atlanta
2334,13,2141.04,4.94,862.88,Oklahoma City,Chicago
2113,9,1265.16,6.41,558.57,Portland,Fort Worth
2353,17,1946.4,4.8,256.84,Memphis,Tampa
8583,8,1654.44,6.34,303.38,Jacksonville,Louisville
5998,17,1265.16,5.26,220.83,San Jose,Nashville
4644,3,97.32,5.15,6192.48,Dallas,San Diego
8615,7,389.28,5.67,2903.61,Minneapolis,Miami
3981,9,1459.8,6.61,220.49,Louisville,Columbus
9474,11,1070.52,5.55,1048.97,Fresno,Nashville
4253,12,3503.52,4.99,67.8,Minneapolis,San Jose
5139,12,583.92,5.93,194.95,Virginia Beach,New Orleans
5762,13,973.2,7.18,515.81,Philadelphia,San Francisco
9281,3,2043.72,4.5,321.73,Las Vegas,Tampa
2784,12,3016.92,4.46,35.57,Atlanta,Philadelphia
8929,21,1946.4,6.82,966.17,Sacramento,San Francisco
3313,3,3308.88,5.18,25.22,Omaha,Philadelphia
4662,20,2141.04,4.58,558.85,Miami,Washington
2236,19,1362.48,3.84,154.53,Sacramento,New Orleans
2660,15,1167.84,4.78,212.77,Mesa,Tulsa
6260,6,1167.84,5.88,58.72,Phoenix,Indianapolis
9818,17,1362.48,4.93,117.62,Oklahoma City,Austin
6709,19,1070.52,5.22,256.05,Arlington,Kansas City
5427,23,1070.52,2.75,527.27,Charlotte,Houston
6536,14,4184.76,6.59,42.51,Tulsa,Houston
6761,21,3795.48,4.23,39.64,Minneapolis,San Antonio
3945,4,2724.96,6.4,206.17,El Paso,New Orleans
5755,16,194.64,7.66,1446.73,Philadelphia,Houston
7224,7,1265.16,5.8,630.19,Las Vegas,Columbus
4605,3,1070.52,6.94,498.84,New Orleans,Colorado Springs
8284,5,194.64,6.89,5100.83,Columbus,San Francisco
2881,4,97.32,5.5,1642.19,Las Vegas,Portland
2482,24,973.2,5.09,174.78,Tampa,Kansas City
7449,21,486.6,5.59,560.07,Colorado Springs,Virginia Beach
7898,24,3211.56,6.45,489.45,Miami,Dallas
2598,4,1362.48,4.68,401.01,Oklahoma City,Colorado Springs
5024,20,973.2,5.8,825.13,San Diego,Seattle
8366,19,1167.84,5.69,887.44,Mesa,Tulsa
9888,9,778.56,5.23,115.11,Kansas City,Minneapolis
9911,2,291.96,4.35,1696.32,Denver,San Francisco
3024,8,875.88,5.04,873.74,Seattle,Las Vegas
6250,15,2238.36,5.87,162.63,San Diego,Milwaukee
6036,17,486.6,5.35,1322.38,Dallas,Columbus
2540,20,1459.8,7.42,214.05,Phoenix,Washington
1735,24,486.6,4.89,444.58,Jacksonville,San Antonio
5055,14,486.6,5.82,67.26,San Diego,Chicago
2650,13,3016.92,6.93,66.37,Dallas,Omaha
4996,16,973.2,6.43,93.45,San Francisco,Philadelphia
6652,5,291.96,5.05,916.17,Colorado Springs,Miami
1620,17,681.24,6.93,1852.17,Charlotte,El Paso
4395,18,778.56,5.54,1358.98,Portland,Seattle
5494,22,389.28,6.95,612.13,Philadelphia,Los Angeles
7229,8,2530.32,5.15,369.74,Oakland,Denver
7414,9,2238.36,5.11,49.45,San Diego,Milwaukee
7313,5,2627.64,6.55,55.15,San Francisco,Long Beach
7259,21,778.56,5.46,183.52,Tampa,Omaha
9172,4,2627.64,5.88,958.26,Columbus,Raleigh
7231,15,2433,5.91,553.01,Detroit,Arlington
1341,6,2238.36,5.5,162.07,Portland,Arlington
7519,23,875.88,6.87,931.61,Columbus,Phoenix
9158,10,681.24,6.6,336.06,New Orleans,Long Beach
4912,15,1362.48,4.8,375.03,Portland,Omaha
2505,7,1946.4,3.69,274.14,Louisville,Dallas
7704,15,194.64,4.88,3385.17,Atlanta,Mesa
7835,18,291.96,4.8,3770.03,Jacksonville,Dallas
9459,3,778.56,6.1,189.59,Louisville,Boston
7556,15,1849.08,5.96,266.85,Virginia Beach,Oklahoma City
2959,18,1459.8,6.75,444,Raleigh,Portland
8083,5,2433,5.58,192.97,Los Angeles,Las Vegas
9170,20,291.96,4.32,1511.81,Kansas City,Mesa
3669,9,3600.84,4.94,109.12,Colorado Springs,Los Angeles
7575,6,1070.52,5.32,752.32,Sacramento,Tulsa
6020,1,973.2,5.12,542.86,Detroit,Fresno
5496,15,1946.4,5.61,79.11,Nashville,Chicago
3992,11,3698.16,5.87,67.39,Tulsa,Dallas
2691,22,3308.88,4.62,70.14,Long Beach,Dallas
7764,1,389.28,5.38,2206.08,Charlotte,Austin
7490,12,291.96,7.29,178.13,Mesa,Kansas City
7272,1,1751.76,4.67,77.31,Philadelphia,Detroit
4632,24,2335.68,4.38,166.64,Charlotte,Colorado Springs
8870,21,3114.24,6.68,109.29,Oakland,Fort Worth
9192,5,1654.44,6,382.28,Washington,Chicago
3300,17,1751.76,5.62,241.8,New Orleans,Albuquerque
3951,23,389.28,6.34,1207.52,Omaha,Virginia Beach
1584,17,875.88,4.04,1085.38,Memphis,Denver
3244,3,291.96,5.59,314.04,Albuquerque,Mesa
4333,13,194.64,6.19,4089.1,Tampa,Minneapolis
8274,16,1070.52,4.71,395.42,Kansas City,Las Vegas
6770,2,2043.72,4.6,232.67,Oklahoma City,Minneapolis
5020,18,1265.16,5.9,117.57,Oklahoma City,Kansas City
5419,19,3990.12,6.25,183.12,Long Beach,Los Angeles
3683,23,1946.4,7.14,183.87,Baltimore,New Orleans
5844,20,681.24,4.93,663.57,Fort Worth,Washington
1758,12,97.32,6.13,11323.77,Seattle,Indianapolis
5120,9,291.96,4.9,757.99,Austin,Columbus
5367,2,1946.4,5.25,237.63,Atlanta,Indianapolis
3963,5,2822.28,6.04,292.79,Dallas,Kansas City
4596,8,2530.32,7.7,70.8,Raleigh,Charlotte
4901,16,486.6,4.72,668.33,Austin,Philadelphia
9806,8,2724.96,5.68,83.31,Columbus,Miami
8288,3,2238.36,7.19,85.48,Nashville,Minneapolis
6232,5,1265.16,4.9,320.08,Fort Worth,Portland
2362,19,1557.12,6.02,287.55,San Antonio,Nashville
6887,4,1751.76,4.6,455.93,Fresno,San Francisco
3670,23,97.32,4.39,5103.96,Houston,Chicago
8098,4,973.2,5.74,1855.01,Charlotte,Oklahoma City
4846,16,486.6,6.04,1059.02,San Antonio,Jacksonville
4357,21,2919.6,4.05,22.87,Tucson,Chicago
5040,1,1459.8,5.22,172.04,San Antonio,El Paso
9612,6,97.32,6.15,6969.3,Arlington,Tampa
9339,3,291.96,5.03,3101.82,San Antonio,San Jose
8992,20,4184.76,4.67,102.7,Los Angeles,Oakland
2763,24,3114.24,7.29,135.95,New Orleans,Seattle
2813,10,486.6,6.73,1308.93,Tucson,Kansas City
1416,15,681.24,4.95,676.66,Detroit,Milwaukee
4530,12,973.2,6.23,329.83,Omaha,New Orleans
2523,11,1946.4,5.57,271.62,Albuquerque,Jacksonville
6209,12,486.6,5.45,1506.05,Dallas,Houston
2977,16,1654.44,3.96,468.41,Miami,Oklahoma City
3880,18,486.6,5.22,1015.52,Virginia Beach,Arlington
8323,7,2822.28,4.65,106.94,Tucson,Houston
2578,13,1654.44,5.6,409.78,Atlanta,Washington
5293,19,681.24,5.1,1744.14,Oklahoma City,Albuquerque
4923,5,194.64,4.06,1149.61,Fresno,Sacramento
1460,12,1557.12,6.53,30.31,Colorado Springs,Nashville
2856,14,1654.44,4.4,192.69,Kansas City,Boston
5075,13,875.88,5.09,490.68,Mesa,Portland
3526,22,97.32,5.07,11232.83,Virginia Beach,Oakland
3480,10,291.96,5.67,3387.05,Nashville,Portland
7919,11,1070.52,5.58,132.02,Long Beach,Albuquerque
1502,8,3406.2,6.27,29.82,New Orleans,Charlotte
2055,11,1167.84,5.15,254.78,Milwaukee,Long Beach
2205,8,97.32,3.42,16400.68,Oklahoma City,Detroit
4417,1,1654.44,6.29,125.56,Fort Worth,Baltimore
6360,13,389.28,5.33,2638.46,Tulsa,Long Beach
5505,9,1070.52,3.87,522.45,Washington,Dallas
3864,22,194.64,6.47,6728.84,Dallas,Austin
1324,5,3406.2,5.1,216.16,Colorado Springs,Houston
1495,7,291.96,5.16,615.36,Jacksonville,Charlotte
6259,3,291.96,3.89,882,Washington,Indianapolis
9164,14,1946.4,6.68,482.16,Columbus,Fresno
1288,22,97.32,6.11,715.27,Arlington,Tampa
5351,15,3016.92,4.27,31.89,New Orleans,Denver
8593,20,194.64,3.12,3246.85,Nashville,Oklahoma City
8839,15,3406.2,5.03,127.38,Raleigh,Philadelphia
3756,21,1849.08,7.38,27.74,Indianapolis,Sacramento
3315,7,2627.64,5.31,200.22,Arlington,El Paso
5335,24,194.64,4.62,547.76,Kansas City,Omaha
7015,1,778.56,5.37,146.38,Fresno,Portland
7364,21,194.64,5.51,6458.27,San Jose,Jacksonville
4402,18,194.64,5.45,1249.08,Colorado Springs,Raleigh
8789,11,389.28,6.71,1589.52,Virginia Beach,Tampa
7590,3,1557.12,5.34,84.86,Atlanta,Boston
